% Y. Wang et al. The Holocene Asian Monsoon: Links to Solar Changes 
%     and North Atlantic Climate. Science, 2005. DOI: 10.1126/science.1106296

% NB. Age is in kilo-years before 1950.

%Age	d18O
3.129	-7.640
3.135	-7.760
3.140	-7.780
3.146	-7.640
3.152	-7.560
3.157	-7.510
3.163	-7.490
3.168	-7.770
3.174	-7.600
3.179	-7.570
3.185	-7.850
3.190	-7.810
3.196	-7.790
3.201	-7.720
3.207	-7.700
3.212	-7.520
3.218	-7.460
3.221	-7.640
3.224	-7.650
3.226	-7.760
3.229	-7.730
3.232	-7.790
3.235	-7.660
3.238	-7.750
3.241	-7.810
3.243	-7.800
3.246	-7.630
3.249	-7.780
3.252	-7.670
3.255	-7.740
3.257	-7.710
3.260	-7.720
3.263	-7.580
3.266	-7.450
3.269	-7.220
3.271	-7.370
3.274	-7.600
3.277	-7.750
3.280	-7.560
3.283	-7.530
3.286	-7.420
3.288	-7.590
3.291	-7.710
3.294	-7.520
3.297	-7.610
3.300	-7.540
3.302	-7.390
3.305	-7.540
3.308	-7.740
3.315	-7.620
3.322	-7.680
3.329	-7.680
3.336	-7.600
3.343	-7.610
3.350	-7.680
3.357	-7.870
3.364	-7.780
3.371	-7.790
3.378	-7.660
3.385	-7.680
3.392	-7.720
3.399	-7.740
3.406	-7.770
3.412	-7.790
3.419	-7.670
3.426	-7.690
3.433	-7.640
3.440	-7.700
3.447	-7.800
3.454	-7.750
3.461	-7.720
3.468	-7.770
3.475	-7.830
3.482	-7.770
3.489	-7.880
3.496	-7.790
3.503	-7.790
3.510	-7.860
3.517	-7.710
3.524	-7.850
3.531	-7.650
3.538	-7.850
3.545	-7.940
3.552	-7.740
3.559	-7.750
3.566	-7.720
3.573	-7.680
3.580	-7.780
3.587	-7.680
3.594	-7.790
3.601	-7.650
3.608	-7.750
3.614	-7.530
3.621	-7.700
3.628	-7.840
3.635	-7.670
3.642	-7.720
3.649	-7.950
3.656	-7.740
3.663	-7.710
3.670	-7.660
3.677	-7.720
3.684	-7.640
3.691	-7.560
3.698	-7.450
3.705	-7.780
3.712	-7.620
3.715	-7.740
3.718	-7.690
3.721	-7.830
3.724	-7.640
3.727	-7.680
3.730	-7.630
3.733	-7.790
3.737	-7.520
3.740	-7.620
3.743	-7.760
3.746	-7.740
3.749	-7.780
3.752	-7.580
3.755	-7.860
3.758	-7.660
3.761	-7.750
3.764	-7.840
3.767	-7.800
3.770	-7.670
3.773	-7.800
3.776	-7.780
3.779	-7.890
3.782	-7.900
3.786	-7.860
3.789	-7.870
3.792	-7.750
3.795	-7.820
3.798	-7.880
3.801	-7.660
3.804	-7.820
3.807	-7.910
3.810	-7.950
3.813	-7.970
3.816	-7.500
3.819	-7.610
3.822	-7.870
3.825	-7.900
3.828	-7.970
3.832	-7.920
3.835	-7.490
3.838	-7.980
3.841	-7.860
3.844	-7.910
3.847	-8.050
3.850	-7.970
3.853	-7.930
3.856	-7.750
3.859	-7.830
3.862	-7.710
3.865	-8.080
3.868	-7.690
3.871	-7.990
3.874	-7.880
3.877	-7.870
3.881	-7.960
3.884	-7.860
3.887	-7.980
3.890	-8.080
3.893	-8.000
3.896	-8.190
3.899	-8.130
3.902	-8.180
3.907	-8.070
3.912	-8.110
3.917	-8.150
3.922	-8.090
3.927	-7.990
3.932	-8.080
3.937	-7.990
3.942	-7.840
3.947	-7.940
3.952	-8.050
3.956	-8.080
3.961	-7.770
3.966	-7.780
3.971	-7.960
3.976	-7.780
3.981	-7.740
3.986	-7.850
3.991	-7.810
3.996	-7.730
4.001	-7.530
4.005	-7.720
4.008	-7.830
4.012	-7.820
4.015	-7.840
4.019	-7.730
4.022	-7.840
4.026	-7.720
4.029	-7.790
4.033	-7.670
4.036	-7.850
4.040	-7.890
4.043	-7.520
4.047	-7.610
4.050	-7.710
4.054	-8.030
4.057	-7.960
4.061	-7.940
4.064	-7.770
4.068	-7.960
4.072	-7.850
4.075	-7.910
4.079	-7.980
4.082	-7.920
4.086	-8.020
4.089	-7.870
4.093	-7.950
4.096	-7.700
4.100	-8.000
4.103	-7.910
4.107	-7.970
4.110	-7.760
4.114	-7.370
4.117	-7.480
4.121	-7.660
4.124	-7.790
4.128	-7.860
4.131	-7.740
4.135	-7.880
4.139	-7.830
4.142	-7.830
4.146	-7.800
4.149	-7.650
4.153	-7.700
4.156	-7.660
4.160	-7.870
4.163	-7.780
4.167	-7.810
4.170	-7.930
4.174	-7.780
4.177	-7.780
4.181	-7.840
4.184	-7.850
4.188	-7.870
4.191	-7.970
4.195	-8.080
4.198	-8.020
4.202	-8.040
4.205	-8.130
4.209	-8.070
4.213	-8.160
4.216	-8.060
4.220	-7.990
4.223	-8.100
4.227	-7.990
4.230	-8.000
4.234	-7.960
4.237	-8.000
4.241	-7.740
4.244	-7.760
4.248	-7.900
4.251	-7.830
4.255	-7.850
4.258	-7.810
4.262	-7.810
4.265	-7.720
4.269	-7.690
4.272	-7.810
4.276	-7.810
4.285	-7.760
4.294	-7.610
4.302	-7.690
4.311	-7.640
4.320	-7.660
4.329	-8.160
4.338	-7.950
4.347	-8.280
4.355	-7.790
4.364	-7.520
4.373	-8.060
4.382	-8.380
4.391	-8.380
4.399	-8.330
4.408	-8.390
4.417	-8.440
4.420	-8.340
4.422	-8.230
4.425	-8.410
4.428	-8.280
4.430	-8.370
4.433	-8.410
4.436	-8.360
4.439	-8.220
4.441	-8.160
4.444	-8.350
4.447	-8.220
4.449	-7.750
4.452	-7.910
4.455	-8.110
4.457	-8.070
4.460	-8.220
4.463	-8.130
4.465	-8.170
4.468	-8.120
4.471	-8.200
4.473	-8.320
4.476	-8.200
4.479	-8.210
4.482	-8.100
4.484	-7.950
4.487	-8.010
4.490	-7.970
4.492	-8.020
4.495	-8.070
4.498	-8.040
4.500	-8.030
4.503	-7.710
4.506	-7.870
4.508	-8.070
4.511	-8.130
4.514	-8.290
4.516	-8.180
4.519	-8.310
4.522	-8.230
4.525	-8.090
4.527	-8.190
4.530	-8.220
4.533	-8.180
4.535	-8.140
4.538	-8.260
4.541	-8.150
4.543	-8.020
4.546	-8.130
4.551	-8.100
4.556	-8.220
4.561	-8.270
4.566	-8.110
4.571	-8.260
4.576	-8.360
4.581	-8.320
4.587	-8.350
4.592	-8.420
4.597	-8.120
4.602	-8.100
4.607	-8.000
4.612	-8.200
4.617	-8.140
4.622	-8.190
4.627	-8.260
4.632	-8.250
4.637	-8.170
4.642	-8.230
4.647	-8.320
4.652	-8.230
4.657	-8.200
4.663	-8.100
4.668	-8.350
4.673	-8.200
4.678	-8.130
4.683	-8.160
4.688	-8.070
4.693	-7.980
4.698	-8.010
4.703	-8.000
4.708	-8.110
4.713	-8.180
4.718	-8.140
4.723	-8.040
4.728	-8.210
4.734	-8.070
4.739	-8.130
4.744	-8.230
4.749	-8.150
4.754	-8.220
4.759	-8.180
4.764	-8.150
4.769	-8.210
4.774	-8.110
4.779	-8.200
4.784	-8.220
4.789	-8.280
4.794	-8.370
4.799	-8.440
4.804	-8.280
4.810	-8.170
4.815	-8.100
4.820	-8.270
4.825	-8.060
4.830	-8.120
4.835	-8.350
4.840	-8.370
4.845	-8.140
4.850	-8.280
4.855	-8.280
4.860	-7.930
4.865	-7.990
4.870	-8.340
4.875	-8.140
4.880	-8.150
4.886	-8.160
4.891	-8.290
4.896	-8.290
4.901	-8.250
4.906	-8.140
4.911	-8.060
4.916	-8.010
4.921	-8.010
4.925	-8.110
4.929	-8.070
4.933	-8.240
4.937	-8.250
4.941	-8.210
4.945	-8.100
4.949	-8.030
4.953	-8.050
4.957	-8.130
4.961	-7.930
4.965	-7.830
4.969	-8.100
4.973	-8.110
4.977	-8.110
4.981	-8.360
4.985	-8.260
4.989	-8.150
4.993	-8.050
4.997	-8.140
5.000	-8.190
5.004	-8.010
5.008	-7.970
5.012	-7.900
5.016	-8.110
5.020	-8.180
5.024	-8.350
5.028	-8.300
5.032	-8.300
5.036	-8.340
5.040	-8.220
5.044	-8.080
5.048	-8.480
5.052	-8.440
5.056	-8.310
5.060	-7.940
5.064	-8.100
5.068	-8.130
5.072	-8.170
5.077	-8.080
5.082	-8.000
5.087	-8.240
5.092	-8.270
5.097	-8.310
5.103	-8.380
5.108	-8.400
5.113	-8.220
5.118	-8.340
5.123	-8.340
5.128	-8.230
5.133	-8.200
5.138	-8.290
5.143	-8.350
5.148	-8.320
5.154	-8.380
5.159	-8.440
5.164	-8.480
5.169	-8.430
5.174	-8.240
5.179	-8.370
5.184	-8.360
5.189	-8.370
5.194	-8.200
5.199	-8.350
5.204	-8.250
5.210	-8.260
5.215	-7.990
5.220	-8.150
5.225	-8.370
5.230	-8.290
5.235	-8.370
5.240	-8.160
5.245	-8.090
5.250	-8.170
5.255	-8.360
5.261	-8.290
5.266	-8.300
5.271	-8.290
5.276	-8.340
5.281	-8.240
5.286	-8.320
5.291	-8.410
5.296	-8.520
5.301	-8.320
5.306	-8.270
5.311	-8.250
5.317	-8.320
5.322	-8.290
5.327	-8.330
5.332	-8.260
5.337	-8.370
5.342	-8.240
5.347	-8.320
5.352	-8.310
5.357	-8.220
5.362	-8.280
5.367	-8.200
5.373	-8.200
5.375	-8.080
5.377	-8.040
5.378	-8.120
5.379	-8.060
5.381	-7.980
5.383	-8.100
5.385	-8.020
5.387	-7.950
5.388	-8.090
5.389	-8.090
5.391	-8.100
5.393	-8.180
5.398	-8.190
5.403	-8.300
5.408	-8.360
5.413	-8.200
5.418	-8.210
5.424	-8.330
5.429	-8.210
5.434	-8.290
5.439	-8.240
5.444	-8.280
5.449	-8.130
5.458	-8.170
5.467	-7.900
5.476	-7.980
5.485	-8.370
5.493	-7.990
5.502	-8.130
5.511	-8.550
5.516	-8.340
5.519	-8.250
5.520	-8.140
5.523	-8.100
5.526	-8.160
5.529	-8.170
5.533	-8.580
5.537	-8.310
5.538	-8.360
5.540	-8.510
5.544	-8.660
5.547	-8.170
5.551	-8.640
5.555	-8.520
5.556	-8.310
5.558	-8.660
5.562	-8.480
5.564	-8.370
5.569	-8.470
5.572	-8.490
5.573	-8.160
5.576	-8.380
5.579	-8.230
5.582	-8.140
5.587	-8.410
5.590	-8.210
5.591	-8.100
5.593	-8.180
5.595	-8.230
5.597	-8.010
5.602	-8.080
5.608	-8.270
